PROV1;Thadner Gulf;;;;;
PROV10;Western Winterscape Sea;;;;;
PROV100;Shark's Coast;;;;;
PROV1000;Clamorclap Bowl;;;;;
PROV1001;Glasscrag;;;;;
PROV1002;Salandus;;;;;
PROV1003;Salaasu;;;;;
PROV1004;Abalkala;;;;;
PROV1005;Lutemoth;;;;;
PROV1006;Knife Ear;;;;;
PROV1007;Redoran Pier;;;;;
PROV1008;Amber Forest;;;;;
PROV1009;Bazhthum;;;;;
PROV101;Pyrrahn Strait;;;;;
PROV1010;Dilaalyn;;;;;
PROV1011;Nightmare Den;;;;;
PROV1012;Nethril;;;;;
PROV1013;Dinelosa;;;;;
PROV1014;Domeere;;;;;
PROV1015;Zeba-Adad;;;;;
PROV1016;Haddadalmalu;;;;;
PROV1017;Necrom;;;;;
PROV1018;Nareama;;;;;
PROV1019;Tel Mothrivra;;;;;
PROV102;Northern Pyrrahn Bay;;;;;
PROV1020;Greenheights;;;;;
PROV1021;Cinreni;;;;;
PROV1022;Cinya;;;;;
PROV1023;Alt Bosara;;;;;
PROV1024;Gah Sadrith;;;;;
PROV1025;Bthzundcheft;;;;;
PROV1026;Sadas;;;;;
PROV1027;Yashazmus;;;;;
PROV1028;Port Telvannis;;;;;
PROV1029;Llothanis;;;;;
PROV103;Southern Pyrrahn Bay;;;;;
PROV1030;Karththor Heights;;;;;
PROV1031;Vevrisie;;;;;
PROV1032;Velothis Haven;;;;;
PROV1033;Sanaeli;;;;;
PROV1034;Bal Oyra;;;;;
PROV1035;Bahrammu;;;;;
PROV1036;Firewatch;;;;;
PROV1037;Manrizache;;;;;
PROV1038;Thervi;;;;;
PROV1039;Omani;;;;;
PROV104;Northern Pyrrahn Bay;;;;;
PROV1040;Hinnabi;;;;;
PROV1041;Mzahnch;;;;;
PROV1042;City of Stone;;;;;
PROV1043;Old Sotha;;;;;
PROV1044;Andrethi;;;;;
PROV1045;Stonewood;;;;;
PROV1046;Hla Oad;;;;;
PROV1047;Yasamsi;;;;;
PROV1048;Hlormaren;;;;;
PROV1049;Mzuleft;;;;;
PROV105;Central Pyrrahn Bay;;;;;
PROV1050;Rotheran;;;;;
PROV1051;Nchardahrk;;;;;
PROV1052;Dagon Fel;;;;;
PROV1053;Sarethi;;;;;
PROV1054;Lake Fjalding;;;;;
PROV1055;Lake Amaya;;;;;
PROV1056;Lake Nabia;;;;;
PROV1057;Lake Boethiah;;;;;
PROV1058;Southern Morrowind Lakes;;;;;
PROV1059;Lake Tonaara;;;;;
PROV106;Khael Strait;;;;;
PROV1060;Lake Hairan;;;;;
PROV1061; ;;;;;
PROV1062;Red Mountain;;;;;
PROV1063;Caerean;;;;;
PROV1064;Thorn;;;;;
PROV1065;Chasecreek;;;;;
PROV1066;Riverwalk;;;;;
PROV1067;Branchmont;;;;;
PROV1068;Loriasel;;;;;
PROV1069;Stormhold;;;;;
PROV107;Southern Altean Sea;;;;;
PROV1070;Onaava;;;;;
PROV1071;Tsonashap;;;;;
PROV1072;Bitterroot;;;;;
PROV1073;Reticulated Spine;;;;;
PROV1074;Hatchling's Crown;;;;;
PROV1075;Helstrom;;;;;
PROV1076;Xal Haj-Ei;;;;;
PROV1077;Rockpoint;;;;;
PROV1078;Xal Thak;;;;;
PROV1079;Oneer;;;;;
PROV108;Coast of Velu;;;;;
PROV1080;Rockguard;;;;;
PROV1081;Gideon;;;;;
PROV1082;Glenbridge;;;;;
PROV1083;Kelo;;;;;
PROV1084;Southern Pearl;;;;;
PROV1085;Rockgrove;;;;;
PROV1086;Chasepoint;;;;;
PROV1087;Soulrest;;;;;
PROV1088;Kani;;;;;
PROV1089;Longmont;;;;;
PROV109;Southern Altean Sea;;;;;
PROV1090;Neesha;;;;;
PROV1091;Blackrose Woods;;;;;
PROV1092;Alten Meirhall;;;;;
PROV1093;Ochealg;;;;;
PROV1094;Deesei;;;;;
PROV1095;Menari;;;;;
PROV1096;Alten Markmont;;;;;
PROV1097;Rockspring;;;;;
PROV1098;Lilmoth;;;;;
PROV1099;Nuralg;;;;;
PROV11;Northern Solstheim-Roscrea Passage;;;;;
PROV110;Southern Altean Sea;;;;;
